"Path","SizeMB","LastWriteTime"
"D:\ai\crewai\crewai-docker\modules\hnswlib.cpython-311-x86_64-linux-gnu.so","8.48","2025/08/20 19:13:36"
"D:\ai\crewai\crewai-docker\modules\rapidjson.cpython-311-x86_64-linux-gnu.so","6.74","2025/08/20 19:13:27"
"D:\ai\crewai\crewai-docker\modules\_brotli.cpython-311-x86_64-linux-gnu.so","7.11","2025/08/20 19:13:23"
"D:\ai\crewai\crewai-docker\modules\bin\perf_analyzer","19.49","2025/08/20 19:13:33"
"D:\ai\crewai\crewai-docker\modules\bin\perf_client","19.49","2025/08/20 19:13:33"
"D:\ai\crewai\crewai-docker\modules\clarifai_grpc\grpc\api\service_pb2_grpc.py","5.2","2025/08/24 8:41:50"
"D:\ai\crewai\crewai-docker\modules\cryptography\hazmat\bindings\_rust.abi3.so","11.89","2025/08/20 19:13:39"
"D:\ai\crewai\crewai-docker\modules\google\cloud\aiplatform\training_jobs.py","5.09","2025/08/24 8:43:37"
"D:\ai\crewai\crewai-docker\modules\google\cloud\aiplatform_v1beta1\services\job_service\transports\rest_asyncio.py","5.06","2025/08/24 8:47:44"
"D:\ai\crewai\crewai-docker\modules\google\genai\types.py","5.37","2025/08/24 8:50:24"
"D:\ai\crewai\crewai-docker\modules\grpc\_cython\cygrpc.cpython-311-x86_64-linux-gnu.so","13.72","2025/08/20 19:13:32"
"D:\ai\crewai\crewai-docker\modules\hf_xet\hf_xet.abi3.so","7.55","2025/08/20 19:13:32"
"D:\ai\crewai\crewai-docker\modules\kubernetes\client\api\apps_v1_api.py","8.07","2025/08/24 8:51:19"
"D:\ai\crewai\crewai-docker\modules\kubernetes\client\api\core_v1_api.py","24.09","2025/08/24 8:51:36"
"D:\ai\crewai\crewai-docker\modules\kubernetes\client\api\networking_v1_api.py","5.75","2025/08/24 8:51:45"
"D:\ai\crewai\crewai-docker\modules\kubernetes\client\api\resource_v1alpha3_api.py","5.52","2025/08/24 8:51:51"
"D:\ai\crewai\crewai-docker\modules\kubernetes\client\api\storage_v1_api.py","5.2","2025/08/24 8:52:00"
"D:\ai\crewai\crewai-docker\modules\lance\lance.abi3.so","58.72","2025/08/20 19:13:35"
"D:\ai\crewai\crewai-docker\modules\numpy\core\_multiarray_umath.cpython-311-x86_64-linux-gnu.so","7.08","2025/08/20 19:13:30"
"D:\ai\crewai\crewai-docker\modules\numpy.libs\libopenblas64_p-r0-0cf96a72.3.23.dev.so","33.5","2025/08/20 19:13:30"
"D:\ai\crewai\crewai-docker\modules\onnxruntime\capi\libonnxruntime.so.1.22.1","20.11","2025/08/20 19:13:38"
"D:\ai\crewai\crewai-docker\modules\onnxruntime\capi\onnxruntime_pybind11_state.cpython-311-x86_64-linux-gnu.so","20.97","2025/08/20 19:13:38"
"D:\ai\crewai\crewai-docker\modules\pulsar_client.libs\libpulsar-cfe83499.so","18.15","2025/08/20 19:13:35"
"D:\ai\crewai\crewai-docker\modules\pyarrow\libarrow.so.2100","46.59","2025/08/20 19:13:28"
"D:\ai\crewai\crewai-docker\modules\pyarrow\libarrow_compute.so.2100","18.23","2025/08/20 19:13:28"
"D:\ai\crewai\crewai-docker\modules\pyarrow\libarrow_flight.so.2100","19.34","2025/08/20 19:13:28"
"D:\ai\crewai\crewai-docker\modules\pyarrow\libarrow_substrait.so.2100","5.1","2025/08/20 19:13:29"
"D:\ai\crewai\crewai-docker\modules\pyarrow\libparquet.so.2100","10.93","2025/08/20 19:13:29"
"D:\ai\crewai\crewai-docker\modules\selenium\webdriver\common\linux\selenium-manager","5.27","2025/08/20 19:13:42"
"D:\ai\crewai\crewai-docker\modules\selenium\webdriver\common\macos\selenium-manager","7.88","2025/08/20 19:13:42"
"D:\ai\crewai\crewai-docker\modules\shapely.libs\libgeos-3ef06f11.so.3.13.1","5.07","2025/08/20 19:13:34"
"D:\ai\crewai\crewai-docker\modules\tokenizers\tokenizers.abi3.so","8.93","2025/08/20 19:13:40"
"D:\ai\crewai\crewai-docker\modules\uvloop\loop.cpython-311-x86_64-linux-gnu.so","13.08","2025/08/20 19:13:23"
"D:\ai\crewai\crewai-docker\modules\yt_dlp\extractor\lazy_extractors.py","7.08","2025/08/24 9:04:12"
